Item Number,Variation ID,SKU,Regular Price
24277-250,15283,24277,undefined
24277-1,15284,24277,undefined
223202-1,7255,223202,undefined
223202-500,7256,223202,undefined
226605-1,8265,226605,undefined
227612-1,15202,227612,undefined
229604-1,13906,229604,undefined
229608-1,13907,229608,undefined
229612-250,8232,229612,undefined
229612-1,8233,229612,undefined
232807-1,2559,232807,undefined
232807-250,5533,232807,undefined
233202-5L,2915,233202,undefined
233202-5H,2916,233202,undefined
233202-1H,4763,233202,undefined
233202-1L,4764,233202,undefined
233203-1H,13454,233203,undefined
233203-5L,13455,233203,undefined
233203-5H,13456,233203,undefined
233203-1L,4765,233203,undefined
